id,created_at,reference,pac_values_1,pac_values_2,pac_values_3,pac_values_4,total_energy_values_1,total_energy_values_2,total_energy_values_3,total_energy_values_4,year_energy_values_1,year_energy_values_2,year_energy_values_3,year_energy_values_4,year_energy_unit
2886082,May 14 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12125700.0,11977600.0,7372590.0,7243350.0,6904980.0,6845740.0,4230260.0,4066480.0,Wh
2886083,May 14 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7710180.0,9432990.0,0.0,0.0,5041380.0,6240490.0,0.0,0.0,Wh
2886084,May 14 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12125700.0,11977600.0,7372590.0,7243350.0,6904980.0,6845740.0,4230260.0,4066480.0,Wh
2886085,May 14 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7710180.0,9432990.0,0.0,0.0,5041380.0,6240490.0,0.0,0.0,Wh
2886086,May 14 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12125700.0,11977600.0,7372590.0,7243350.0,6904980.0,6845740.0,4230260.0,4066480.0,Wh
2886087,May 14 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7710180.0,9432990.0,0.0,0.0,5041380.0,6240490.0,0.0,0.0,Wh
2886088,May 14 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12125700.0,11977600.0,7372590.0,7243350.0,6904980.0,6845740.0,4230260.0,4066480.0,Wh
2869320,May 13 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12082100.0,11934400.0,7372590.0,7216330.0,6861300.0,6802520.0,4230260.0,4039460.0,Wh
2869321,May 13 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7685000.0,9401220.0,0.0,0.0,5016200.0,6208730.0,0.0,0.0,Wh
2869322,May 13 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12082100.0,11934400.0,7372590.0,7216330.0,6861300.0,6802520.0,4230260.0,4039460.0,Wh
2869323,May 13 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7685000.0,9401220.0,0.0,0.0,5016200.0,6208730.0,0.0,0.0,Wh
2869324,May 13 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12082100.0,11934400.0,7372590.0,7216330.0,6861300.0,6802520.0,4230260.0,4039460.0,Wh
2869325,May 13 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7685000.0,9401220.0,0.0,0.0,5016200.0,6208730.0,0.0,0.0,Wh
2869326,May 13 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12082100.0,11934400.0,7372590.0,7216330.0,6861300.0,6802520.0,4230260.0,4039460.0,Wh
2869327,May 13 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7685000.0,9401220.0,0.0,0.0,5016200.0,6208730.0,0.0,0.0,Wh
2869328,May 13 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12082100.0,11934400.0,7372590.0,7216330.0,6861300.0,6802520.0,4230260.0,4039460.0,Wh
2869329,May 13 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7685000.0,9401220.0,0.0,0.0,5016200.0,6208730.0,0.0,0.0,Wh
2852636,May 12 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12008700.0,11860900.0,7347070.0,7172150.0,6787920.0,6729100.0,4204740.0,3995280.0,Wh
2852637,May 12 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7635680.0,9342610.0,0.0,0.0,4966870.0,6150110.0,0.0,0.0,Wh
2852638,May 12 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12008700.0,11860900.0,7347070.0,7172150.0,6787920.0,6729100.0,4204740.0,3995280.0,Wh
2852639,May 12 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7635680.0,9342610.0,0.0,0.0,4966870.0,6150110.0,0.0,0.0,Wh
2852640,May 12 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12008700.0,11860900.0,7347070.0,7172150.0,6787920.0,6729100.0,4204740.0,3995280.0,Wh
2852641,May 12 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7635680.0,9342610.0,0.0,0.0,4966870.0,6150110.0,0.0,0.0,Wh
2852642,May 12 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12008700.0,11860900.0,7347070.0,7172150.0,6787920.0,6729100.0,4204740.0,3995280.0,Wh
2852643,May 12 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7635680.0,9342610.0,0.0,0.0,4966870.0,6150110.0,0.0,0.0,Wh
2852644,May 12 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,12008700.0,11860900.0,7347070.0,7172150.0,6787920.0,6729100.0,4204740.0,3995280.0,Wh
2852645,May 12 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7635680.0,9342610.0,0.0,0.0,4966870.0,6150110.0,0.0,0.0,Wh
2835763,May 11 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11976600.0,11829700.0,7326080.0,7151570.0,6755800.0,6697900.0,4183750.0,3974690.0,Wh
2835764,May 11 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7612720.0,9314880.0,0.0,0.0,4943920.0,6122380.0,0.0,0.0,Wh
2835765,May 11 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11976600.0,11829700.0,7326080.0,7151570.0,6755800.0,6697900.0,4183750.0,3974690.0,Wh
2835766,May 11 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7612720.0,9314880.0,0.0,0.0,4943920.0,6122380.0,0.0,0.0,Wh
2835767,May 11 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11976600.0,11829700.0,7326080.0,7151570.0,6755800.0,6697900.0,4183750.0,3974690.0,Wh
2835768,May 11 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7612720.0,9314880.0,0.0,0.0,4943920.0,6122380.0,0.0,0.0,Wh
2835769,May 11 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11976600.0,11829700.0,7326080.0,7151570.0,6755800.0,6697900.0,4183750.0,3974690.0,Wh
2835770,May 11 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7612720.0,9314880.0,0.0,0.0,4943920.0,6122380.0,0.0,0.0,Wh
2835771,May 11 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11976600.0,11829700.0,7326080.0,7151570.0,6755800.0,6697900.0,4183750.0,3974690.0,Wh
2835772,May 11 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7612720.0,9314880.0,0.0,0.0,4943920.0,6122380.0,0.0,0.0,Wh
2823570,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823571,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823572,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823573,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823574,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823575,May 10 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823576,May 10 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823577,May 10 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823578,May 10 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2823579,May 10 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11916100.0,11769900.0,7286180.0,7112080.0,6695300.0,6638070.0,4143850.0,3935200.0,Wh
2814930,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814931,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814932,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814933,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814934,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814935,May 09 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814936,May 09 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814937,May 09 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814938,May 09 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
2814939,May 09 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11820400.0,11675300.0,7221930.0,7048520.0,6599660.0,6543510.0,4079600.0,3871650.0,Wh
