id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
1352234,"['Feb', '01', '2022', '00:00:24']",1652380.0,6336720.0,4.80061,328.792,takurika1-meter,123.298
1352235,"['Feb', '01', '2022', '00:00:32']",18660100.0,231536.0,40.3558,4330.2,comfenalco1-meter,128.897
1352236,"['Feb', '01', '2022', '00:00:33']",1652380.0,6336720.0,4.79757,328.816,takurika1-meter,123.208
1352237,"['Feb', '01', '2022', '00:00:42']",18660100.0,231536.0,40.9996,4407.92,comfenalco1-meter,129.143
1334034,"['Jan', '31', '2022', '00:00:02']",1649030.0,6256200.0,2.50791,185.894,takurika1-meter,124.502
1334035,"['Jan', '31', '2022', '00:00:02']",18511200.0,231372.0,38.5215,3887.0,comfenalco1-meter,126.83
1334036,"['Jan', '31', '2022', '00:00:03']",7417410.0,7736.0,41.4719,4895.73,edlv-meter,125.99
1334037,"['Jan', '31', '2022', '00:00:11']",1649030.0,6256200.0,2.4984,184.722,takurika1-meter,124.529
1334038,"['Jan', '31', '2022', '00:00:12']",18511300.0,231372.0,38.1695,3841.57,comfenalco1-meter,126.845
1334039,"['Jan', '31', '2022', '00:00:21']",1649030.0,6256200.0,2.503,185.078,takurika1-meter,124.497
1334040,"['Jan', '31', '2022', '00:00:22']",18511300.0,231372.0,38.7069,3910.78,comfenalco1-meter,126.842
1334041,"['Jan', '31', '2022', '00:00:31']",1649030.0,6256200.0,2.50015,185.031,takurika1-meter,124.622
1334042,"['Jan', '31', '2022', '00:00:32']",18511300.0,231372.0,38.8543,3940.77,comfenalco1-meter,126.966
1334043,"['Jan', '31', '2022', '00:00:41']",1649030.0,6256200.0,2.5005,184.587,takurika1-meter,124.446
1316127,"['Jan', '30', '2022', '00:00:03']",7313510.0,7631.0,58.7463,6958.31,edlv-meter,125.577
1316128,"['Jan', '30', '2022', '00:00:04']",1645110.0,6173750.0,4.8081,330.51,takurika1-meter,123.78
1316129,"['Jan', '30', '2022', '00:00:04']",18449400.0,231190.0,41.5768,4391.8,comfenalco1-meter,129.341
1316130,"['Jan', '30', '2022', '00:00:13']",1645110.0,6173750.0,4.80804,330.099,takurika1-meter,123.874
1316131,"['Jan', '30', '2022', '00:00:14']",18449500.0,231190.0,41.7228,4408.02,comfenalco1-meter,129.178
1316132,"['Jan', '30', '2022', '00:00:23']",1645110.0,6173750.0,4.80742,329.977,takurika1-meter,123.972
1316133,"['Jan', '30', '2022', '00:00:23']",18449500.0,231190.0,41.7213,4420.0,comfenalco1-meter,129.632
1316134,"['Jan', '30', '2022', '00:00:33']",1645110.0,6173750.0,4.81422,330.395,takurika1-meter,123.782
1316135,"['Jan', '30', '2022', '00:00:34']",18449500.0,231190.0,41.3604,4368.55,comfenalco1-meter,129.508
1316136,"['Jan', '30', '2022', '00:00:43']",1645110.0,6173750.0,4.8068,330.435,takurika1-meter,123.905
1297997,"['Jan', '29', '2022', '00:00:02']",7207530.0,7487.0,47.5162,5636.18,edlv-meter,125.374
1297998,"['Jan', '29', '2022', '00:00:03']",1636250.0,6131390.0,4.79096,328.921,takurika1-meter,124.452
1297999,"['Jan', '29', '2022', '00:00:04']",18374300.0,231117.0,38.7729,4132.81,comfenalco1-meter,131.171
1298000,"['Jan', '29', '2022', '00:00:13']",1636250.0,6131390.0,4.7935,329.311,takurika1-meter,124.384
1298001,"['Jan', '29', '2022', '00:00:13']",18374300.0,231117.0,39.7457,4256.54,comfenalco1-meter,131.092
1298002,"['Jan', '29', '2022', '00:00:23']",1636250.0,6131390.0,4.78798,329.018,takurika1-meter,124.477
1298003,"['Jan', '29', '2022', '00:00:24']",18374400.0,231117.0,39.6306,4230.62,comfenalco1-meter,131.168
1298004,"['Jan', '29', '2022', '00:00:33']",1636250.0,6131390.0,4.78633,329.024,takurika1-meter,124.592
1298005,"['Jan', '29', '2022', '00:00:33']",18374400.0,231117.0,39.7155,4240.93,comfenalco1-meter,131.293
1298006,"['Jan', '29', '2022', '00:00:43']",1636250.0,6131390.0,4.78769,329.091,takurika1-meter,124.511
1279826,"['Jan', '28', '2022', '00:00:00']",1630900.0,6078350.0,5.53503,455.458,takurika1-meter,122.13
1279827,"['Jan', '28', '2022', '00:00:02']",7109230.0,7277.0,65.8832,7739.17,edlv-meter,124.927
1279828,"['Jan', '28', '2022', '00:00:03']",18240300.0,230923.0,74.9711,8673.58,comfenalco1-meter,130.392
1279829,"['Jan', '28', '2022', '00:00:10']",1630900.0,6078350.0,5.5007,456.971,takurika1-meter,122.35
1279830,"['Jan', '28', '2022', '00:00:13']",18240300.0,230923.0,75.3498,8731.87,comfenalco1-meter,130.497
1279831,"['Jan', '28', '2022', '00:00:20']",1630900.0,6078350.0,5.50614,457.696,takurika1-meter,122.394
1279832,"['Jan', '28', '2022', '00:00:23']",18240500.0,230923.0,75.8356,8828.6,comfenalco1-meter,130.545
1279833,"['Jan', '28', '2022', '00:00:30']",1630900.0,6078350.0,5.50924,458.763,takurika1-meter,122.346
1279834,"['Jan', '28', '2022', '00:00:33']",18240500.0,230923.0,77.0764,8991.09,comfenalco1-meter,130.588
1279835,"['Jan', '28', '2022', '00:00:40']",1630900.0,6078350.0,5.51419,458.301,takurika1-meter,122.204
